LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
28m         Normal    Scheduled           pod/target-app-6bdb79f679-4mj7b    Successfully assigned default/target-app-6bdb79f679-4mj7b to ip-10-0-2-175.ec2.internal
34m         Normal    Scheduled           pod/target-app-6bdb79f679-rlmnd    Successfully assigned default/target-app-6bdb79f679-rlmnd to ip-10-0-1-209.ec2.internal
17m         Normal    Scheduled           pod/target-app-6bdb79f679-7p9hz    Successfully assigned default/target-app-6bdb79f679-7p9hz to ip-10-0-2-175.ec2.internal
1s          Normal    Scheduled           pod/target-app-f6db4c6b6-qq6mc     Successfully assigned default/target-app-f6db4c6b6-qq6mc to ip-10-0-1-209.ec2.internal
34m         Normal    Scheduled           pod/target-app-6bdb79f679-4f79h    Successfully assigned default/target-app-6bdb79f679-4f79h to ip-10-0-2-175.ec2.internal
34m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-rlmnd
34m         Normal    ScalingReplicaSet   deployment/target-app              Scaled up replica set target-app-6bdb79f679 to 2
34m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-4f79h
34m         Normal    Pulling             pod/target-app-6bdb79f679-4f79h    Pulling image "nginx:1.25"
34m         Normal    Pulling             pod/target-app-6bdb79f679-rlmnd    Pulling image "nginx:1.25"
34m         Normal    Created             pod/target-app-6bdb79f679-4f79h    Created container: target-app
34m         Normal    Pulled              pod/target-app-6bdb79f679-4f79h    Successfully pulled image "nginx:1.25" in 3.022s (3.022s including waiting)
34m         Normal    Created             pod/target-app-6bdb79f679-rlmnd    Created container: target-app
34m         Normal    Started             pod/target-app-6bdb79f679-rlmnd    Started container target-app
34m         Normal    Pulled              pod/target-app-6bdb79f679-rlmnd    Successfully pulled image "nginx:1.25" in 2.888s (2.888s including waiting)
34m         Normal    Started             pod/target-app-6bdb79f679-4f79h    Started container target-app
28m         Normal    Killing             pod/target-app-6bdb79f679-4f79h    Stopping container target-app
28m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-4mj7b
28m         Normal    Pulled              pod/target-app-6bdb79f679-4mj7b    Container image "nginx:1.25" already present on machine
28m         Normal    Started             pod/target-app-6bdb79f679-4mj7b    Started container target-app
28m         Normal    Created             pod/target-app-6bdb79f679-4mj7b    Created container: target-app
17m         Normal    Killing             pod/target-app-6bdb79f679-4mj7b    Stopping container target-app
17m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-7p9hz
17m         Normal    Started             pod/target-app-6bdb79f679-7p9hz    Started container target-app
17m         Normal    Created             pod/target-app-6bdb79f679-7p9hz    Created container: target-app
17m         Normal    Pulled              pod/target-app-6bdb79f679-7p9hz    Container image "nginx:1.25" already present on machine
2s          Normal    SuccessfulCreate    replicaset/target-app-f6db4c6b6    Created pod: target-app-f6db4c6b6-qq6mc
2s          Normal    ScalingReplicaSet   deployment/target-app              Scaled up replica set target-app-f6db4c6b6 to 1
1s          Normal    Pulling             pod/target-app-f6db4c6b6-qq6mc     Pulling image "nginx:this-tag-is-fake-123"
0s          Warning   Failed              pod/target-app-f6db4c6b6-qq6mc     Failed to pull image "nginx:this-tag-is-fake-123": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:this-tag-is-fake-123": failed to resolve reference "docker.io/library/nginx:this-tag-is-fake-123": docker.io/library/nginx:this-tag-is-fake-123: not found
0s          Warning   Failed              pod/target-app-f6db4c6b6-qq6mc     Error: ErrImagePull
